accession	core	periphery	downstream	abfA_status	hypba_status	phenotype
BlongumB3_ctg	1.0	1.0	0.8328799526907156	complete	complete	unknown
BlongumL6_ctg	1.0	1.0	0.7871082199881727	deleted	complete	unknown
C-1-A4_ctg	0.9126516880932356	0.0	0.7541888428937512	complete	deleted	unknown
C1-A13_ctg	0.9126516880932356	0.0	0.7541888428937512	complete	deleted	unknown
C57BLSB22_ctg	1.0	1.0	0.7819830475064065	deleted	complete	unknown
CCFM1029_ctg	1.0	0.9787565287263962	0.8301465273671069	complete	complete	unknown
CCFM685_ctg	0.910248708398414	0.0	0.8145738879032788	complete	deleted	unknown
CCFM686_ctg	1.0	0.795098433105665	0.6338524213154609	deleted	complete	unknown
CCFM752_ctg	1.0	1.0	0.7819830475064065	deleted	complete	unknown
CCFM756_ctg	1.0	0.9812675773402973	0.7870293711807609	deleted	complete	unknown
CCFM760_ctg	0.9126516880932356	0.0	0.7805637689729943	complete	deleted	unknown
CCFM762_ctg	1.0	1.0	0.7720349563046193	deleted	complete	unknown
FBJ11M1_ctg	0.9131322840321999	0.9925170751305745	0.9271831263552138	complete	complete	unknown
FBJ14M2_ctg	1.0	0.9487243873041382	0.7665155397857941	complete	complete	unknown
FBJ15M2_ctg	1.0	1.0	0.7997897365135685	deleted	complete	unknown
FBJ19M2_ctg	1.0	1.0	0.8524475983967409	complete	complete	unknown
FBJ20M1_ctg	0.9126516880932356	0.0	0.969143833366187	complete	deleted	unknown
FBJ9M5_ctg	1.0	0.9787063077541182	0.8350088704908338	complete	complete	unknown
FGDLZ19M5_ctg	1.0	1.0	0.9930218805440568	complete	complete	unknown
FGDLZ42_ctg	0.9197404781929592	0.0	0.9428871804980616	complete	deleted	unknown
FGDLZ4M1_ctg	1.0	0.9997488951386099	0.7888560352191339	complete	complete	unknown
FGDLZ5M1_ctg	1.0	1.0	0.950548656284907	complete	complete	unknown
FGDLZ63M1_ctg	1.0	1.0	0.7874104737499179	complete	complete	unknown
FGDLZ72M1_ctg	1.0	1.0	0.7871082199881727	complete	complete	unknown
FGDLZ73M1_ctg	1.0	0.980564483728405	0.7458177278401997	complete	complete	unknown
FGDLZ74M1_ctg	1.0	0.9787063077541182	0.7820093304422104	deleted	complete	unknown
FGDLZ78M2_ctg	0.9131322840321999	0.9923664122137404	0.7748209474998358	complete	complete	unknown
FGDLZ8M1_ctg	1.0	1.0	0.950548656284907	complete	complete	unknown
FGSYC16M1_ctg	1.0	1.0	0.7822064524607398	complete	complete	unknown
FGSYC28M4_ctg	1.0	1.0	0.7816939352125633	complete	complete	unknown
FGSYC28M5_ctg	1.0	1.0	0.7816939352125633	complete	complete	unknown
FGSYC85M1_ctg	0.6054307341102968	0.0	0.7805637689729943	deleted	deleted	unknown
FGSZY16M3_ctg	0.9131322840321999	0.0	0.8052828700965898	complete	deleted	unknown
FGSZY56M3_ctg	0.9131322840321999	0.0	0.7634930021683421	complete	deleted	unknown
FGSZY6M4_ctg	0.9126516880932356	0.0	0.7533477889480255	deleted	deleted	unknown
FGXBM12M1_ctg	1.0	1.0	0.7871082199881727	complete	complete	unknown
FGXBM14M6_ctg	1.0	1.0	0.8251790525001643	complete	complete	unknown
FGXBM15M1_ctg	1.0	1.0	0.8631710362047441	complete	deleted	unknown
FGZ16I2M1_ctg	1.0	1.0	0.7816939352125633	complete	complete	unknown
FGZ16MM1_ctg	1.0	1.0	0.7816939352125633	complete	deleted	unknown
FGZ16_I1_M5_ctg	1.0	1.0	0.7816939352125633	complete	complete	unknown
FGZ16_I1_M6_ctg	1.0	1.0	0.7816939352125633	complete	complete	unknown
FGZ17I1M2_ctg	0.9131322840321999	0.9782040980313379	0.7812865497076024	complete	complete	unknown
FGZ19MM7_ctg	1.0	0.9997488951386099	0.7817465010841711	complete	complete	unknown
