accession	locus_cov_bp	locus_cov_frac	abfA_status	hypba_status	phenotype
BlongumB3_ctg	28529	1.0	complete	complete	unknown
BlongumL6_ctg	28529	1.0	deleted	complete	unknown
C-1-A4_ctg	7890	0.27656069262855343	complete	deleted	unknown
C1-A13_ctg	7890	0.27656069262855343	complete	deleted	unknown
C57BLSB22_ctg	28529	1.0	deleted	complete	unknown
CCFM1029_ctg	28106	0.985172981878089	complete	complete	unknown
CCFM685_ctg	7870	0.2758596515826002	complete	deleted	unknown
CCFM686_ctg	24449	0.856987626625539	deleted	complete	unknown
CCFM752_ctg	28529	1.0	deleted	complete	unknown
CCFM756_ctg	28156	0.9869255844929721	deleted	complete	unknown
CCFM760_ctg	7890	0.27656069262855343	complete	deleted	unknown
CCFM762_ctg	28529	1.0	deleted	complete	unknown
FBJ11M1_ctg	27657	0.9694346103964387	complete	complete	unknown
FBJ14M2_ctg	27508	0.9642118546040871	complete	complete	unknown
FBJ15M2_ctg	28529	1.0	deleted	complete	unknown
FBJ19M2_ctg	28529	1.0	complete	complete	unknown
FBJ20M1_ctg	7890	0.27656069262855343	complete	deleted	unknown
FBJ9M5_ctg	28105	0.9851379298257913	complete	complete	unknown
FGDLZ19M5_ctg	28529	1.0	complete	complete	unknown
FGDLZ42_ctg	7949	0.27862876371411543	complete	deleted	unknown
FGDLZ4M1_ctg	28524	0.9998247397385117	complete	complete	unknown
FGDLZ5M1_ctg	28529	1.0	complete	complete	unknown
FGDLZ63M1_ctg	28529	1.0	complete	complete	unknown
FGDLZ72M1_ctg	28529	1.0	complete	complete	unknown
FGDLZ73M1_ctg	28142	0.9864348557608048	complete	complete	unknown
FGDLZ74M1_ctg	28105	0.9851379298257913	deleted	complete	unknown
FGDLZ78M2_ctg	27654	0.9693294542395458	complete	complete	unknown
FGDLZ8M1_ctg	28529	1.0	complete	complete	unknown
FGSYC16M1_ctg	28529	1.0	complete	complete	unknown
FGSYC28M4_ctg	28529	1.0	complete	complete	unknown
FGSYC28M5_ctg	28529	1.0	complete	complete	unknown
FGSYC85M1_ctg	5333	0.1869325949034316	deleted	deleted	unknown
FGSZY16M3_ctg	7894	0.27670090083774407	complete	deleted	unknown
FGSZY56M3_ctg	7894	0.27670090083774407	complete	deleted	unknown
FGSZY6M4_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FGXBM12M1_ctg	28529	1.0	complete	complete	unknown
FGXBM14M6_ctg	28529	1.0	complete	complete	unknown
FGXBM15M1_ctg	28529	1.0	complete	deleted	unknown
FGZ16I2M1_ctg	28529	1.0	complete	complete	unknown
FGZ16MM1_ctg	28529	1.0	complete	deleted	unknown
FGZ16_I1_M5_ctg	28529	1.0	complete	complete	unknown
FGZ16_I1_M6_ctg	28529	1.0	complete	complete	unknown
FGZ17I1M2_ctg	27372	0.959444775491605	complete	complete	unknown
FGZ19MM7_ctg	28524	0.9998247397385117	complete	complete	unknown
FGZ35I1M4_ctg	15961	0.5594658067229836	complete	deleted	unknown
FGZ35MM1_ctg	15961	0.5594658067229836	complete	deleted	unknown
FGZ6MM10_ctg	28490	0.9986329699603912	complete	complete	unknown
FGZ6_I1_M3_ctg	5337	0.18707280311262225	complete	deleted	unknown
FGZ6_I1_M6_ctg	5337	0.18707280311262225	complete	deleted	unknown
FHNBA16M1_ctg	7911	0.27729678572680433	complete	deleted	unknown
FHNBA1M1_ctg	28529	1.0	complete	complete	unknown
FHNBA28M10_ctg	27653	0.969294402187248	complete	complete	unknown
FHNBA3M1_ctg	25598	0.8972624347155526	complete	complete	unknown
FHNBA4M1_ctg	7890	0.27656069262855343	complete	complete	unknown
FHNBO41M2_ctg	28529	1.0	deleted	deleted	unknown
FHaNCM24GMM6_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FHaNCM25GMM1_ctg	28529	1.0	complete	complete	unknown
FHeJZ25M6_ctg	28529	1.0	deleted	complete	unknown
FHeJZ28M10_ctg	28501	0.9990185425356655	complete	deleted	unknown
FHuBZX17M2_ctg	7890	0.27656069262855343	complete	deleted	unknown
FHuBZX1M1_ctg	7890	0.27656069262855343	complete	deleted	unknown
FHuBZX30M2_ctg	28529	1.0	complete	complete	unknown
FJSNT19M1_ctg	28529	1.0	complete	complete	unknown
FJSNT19M2_ctg	28529	1.0	complete	complete	unknown
FJSNT19M3_ctg	28529	1.0	complete	complete	unknown
FJSNT19M4_ctg	28105	0.9851379298257913	complete	complete	unknown
FJSNT19M5_ctg	28105	0.9851379298257913	complete	complete	unknown
FJSNT19M6_ctg	28105	0.9851379298257913	complete	complete	unknown
FJSNT19M7_ctg	28529	1.0	complete	complete	unknown
FJSNT19M8_ctg	28529	1.0	complete	complete	unknown
FJSNT19M9_ctg	28105	0.9851379298257913	complete	complete	unknown
FJSNT32M4_ctg	28529	1.0	complete	deleted	unknown
FJSNT39M10_ctg	28529	1.0	complete	complete	unknown
FJSNT40M12_ctg	23546	0.8253356234007501	complete	complete	unknown
FJSNT45M1_ctg	28529	1.0	complete	complete	unknown
FJSNT46M2_ctg	28529	1.0	complete	complete	unknown
FJSNT49M3_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FJSNT49M4_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FJSNT53M9_ctg	28529	1.0	complete	complete	unknown
FJSNT54M6_ctg	28529	1.0	complete	complete	unknown
FJSNT70M6_ctg	28529	1.0	complete	complete	unknown
FJSNTY49M10_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FJSWX14M1_ctg	7950	0.27866381576641314	complete	deleted	unknown
FJSWX30M1_ctg	28529	1.0	complete	complete	unknown
FJSWX38M1_ctg	7894	0.27670090083774407	complete	deleted	unknown
FJSWX9M2_ctg	28529	1.0	complete	deleted	unknown
FJSWXJ10M2_ctg	28529	1.0	complete	complete	unknown
FJSWXJ11M1_ctg	28529	1.0	complete	complete	unknown
FJSWXJ12M2_ctg	28529	1.0	complete	complete	unknown
FJSWXJ13M2_ctg	7894	0.27670090083774407	complete	deleted	unknown
FJSWXJ17M1_ctg	28529	1.0	complete	complete	unknown
FJSWXJ18M1_ctg	28105	0.9851379298257913	complete	complete	unknown
FJSWXJ20M1_ctg	28068	0.9838410038907778	complete	complete	unknown
FJSWXJ21M1_ctg	28529	1.0	complete	deleted	unknown
FJSWXJ24M1_ctg	28524	0.9998247397385117	deleted	complete	unknown
FJSWXJ2M1_ctg	28529	1.0	complete	complete	unknown
FJSWXJ37M4_ctg	7894	0.27670090083774407	complete	deleted	unknown
