genome	status	n_large_calls	largest_span	largest_span_fraction	largest_type	largest_coords	large_inv_count	large_tra_count	large_del_count	large_ins_count
GCA_000148875.1	complete	2	610643	0.36613133871958986	TRA	NC_000915.1:456998-1067641	0	2	0	0
GCA_000255955.1	complete	1	461012	0.2764150915113996	INV	NC_000915.1:579865-1040877	1	0	0	0
GCA_000274565.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_000274605.1	empty	2	1657535	0.9938302879498748	TRA	NC_000915.1:1459-1658994	0	2	0	0
GCA_000274645.2	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_000274665.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_000274685.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_000274705.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_000274905.1	complete	1	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	1	0	0
GCA_000274925.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_000274945.2	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_000499325.2	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_000499345.2	complete	2	407456	0.24430380885284728	TRA	NC_000915.1:660185-1067641	0	2	0	0
GCA_000521245.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_000709945.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_000966875.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_001433495.1	empty	2	569857	0.3416767346694048	TRA	NC_000915.1:474832-1044689	1	1	0	0
GCA_001901635.1	complete	1	1663282	0.9972760931152849	TRA	NC_000915.1:2924-1666206	0	1	0	0
GCA_001939315.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001939585.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_001939635.1	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_001940015.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_001940025.1	complete	2	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	2	0	0
GCA_001940035.1	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_001940085.1	complete	2	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	2	0	0
GCA_001940095.1	complete	2	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	2	0	0
GCA_001940115.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_001940145.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001940175.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001940185.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_001997995.1	complete	1	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	0	1	0	0
GCA_001998045.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_001998125.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001998205.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_001998245.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001998285.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_001998295.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001998385.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001998405.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_001999865.1	complete	1	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	0	1	0	0
GCA_002203985.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_002204015.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
