genome	n_markers	n_present	fraction_present	status	missing_markers
GCA_000148875.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ
GCA_000255955.1	28	27	0.9642857142857143	complete	HP0521
GCA_000262655.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ
GCA_000270045.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_000274565.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_000274605.1	28	4	0.14285714285714285	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE
GCA_000274645.2	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_000274665.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ
GCA_000274685.1	28	27	0.9642857142857143	complete	HP0521
GCA_000274705.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_000274905.1	28	27	0.9642857142857143	complete	HP0521
GCA_000274925.1	28	27	0.9642857142857143	complete	HP0521
GCA_000274945.2	28	27	0.9642857142857143	complete	HP0521
GCA_000277425.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_000348885.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_000499325.2	28	26	0.9285714285714286	complete	HP0527|cagY,HP0546|cagB
GCA_000499345.2	28	28	1.0	complete	
GCA_000521245.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_000709945.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0547|cagA
GCA_000966875.1	28	27	0.9642857142857143	complete	HP0521
