# cagPAI state–metadata associations (n=528)

## overall
empty	85 (16.10%)
partial	11 (2.08%)
complete_collinear	145 (27.46%)
complete_rearranged	287 (54.36%)

## group
group	empty	partial	complete_collinear	complete_rearranged	total
AG	14 (10.53%)	3 (2.26%)	37 (27.82%)	79 (59.40%)	133
GC	9 (7.63%)	6 (5.08%)	34 (28.81%)	69 (58.47%)	118
IM	23 (20.91%)	1 (0.91%)	29 (26.36%)	57 (51.82%)	110
NAG	39 (23.35%)	1 (0.60%)	45 (26.95%)	82 (49.10%)	167
chi2=24.601, df=9, p=0.003446

## country
group	empty	partial	complete_collinear	complete_rearranged	total
Australia	0 (0.00%)	0 (0.00%)	2 (28.57%)	5 (71.43%)	7
Belarus	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Belgium	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Brazil	0 (0.00%)	1 (50.00%)	1 (50.00%)	0 (0.00%)	2
Canada	3 (100.00%)	0 (0.00%)	0 (0.00%)	0 (0.00%)	3
China	12 (6.49%)	6 (3.24%)	55 (29.73%)	112 (60.54%)	185
Colombia	4 (13.79%)	0 (0.00%)	6 (20.69%)	19 (65.52%)	29
El Salvador	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Germany	3 (37.50%)	0 (0.00%)	1 (12.50%)	4 (50.00%)	8
Greece	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
Honduras	8 (33.33%)	0 (0.00%)	5 (20.83%)	11 (45.83%)	24
Iran	2 (15.38%)	0 (0.00%)	2 (15.38%)	9 (69.23%)	13
Japan	1 (11.11%)	1 (11.11%)	0 (0.00%)	7 (77.78%)	9
Mexico	13 (18.57%)	0 (0.00%)	21 (30.00%)	36 (51.43%)	70
Nicaragua	3 (17.65%)	0 (0.00%)	2 (11.76%)	12 (70.59%)	17
Peru	0 (0.00%)	0 (0.00%)	1 (50.00%)	1 (50.00%)	2
Portugal	2 (50.00%)	1 (25.00%)	0 (0.00%)	1 (25.00%)	4
Russia	0 (0.00%)	0 (0.00%)	0 (0.00%)	2 (100.00%)	2
Singapore	0 (0.00%)	0 (0.00%)	6 (46.15%)	7 (53.85%)	13
South Korea	0 (0.00%)	0 (0.00%)	1 (100.00%)	0 (0.00%)	1
Spain	8 (53.33%)	0 (0.00%)	5 (33.33%)	2 (13.33%)	15
Sweden	21 (26.25%)	1 (1.25%)	23 (28.75%)	35 (43.75%)	80
USA	4 (16.00%)	0 (0.00%)	7 (28.00%)	14 (56.00%)	25
Venezuela	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
missing	0 (0.00%)	0 (0.00%)	0 (0.00%)	1 (100.00%)	1
chi2=NA (insufficient counts or scipy missing)

## fastbaps
group	empty	partial	complete_collinear	complete_rearranged	total
fastbaps_L2	8 (4.06%)	7 (3.55%)	66 (33.50%)	116 (58.88%)	197
fastbaps_L3	41 (27.52%)	1 (0.67%)	30 (20.13%)	77 (51.68%)	149
fastbaps_L4	3 (6.25%)	1 (2.08%)	21 (43.75%)	23 (47.92%)	48
fastbaps_L5	26 (23.01%)	2 (1.77%)	26 (23.01%)	59 (52.21%)	113
fastbaps_L6	7 (33.33%)	0 (0.00%)	2 (9.52%)	12 (57.14%)	21
chi2=58.754, df=12, p=3.805e-08

## phylogenetic_population
group	empty	partial	complete_collinear	complete_rearranged	total
hpAsia2	0 (0.00%)	0 (0.00%)	0 (0.00%)	4 (100.00%)	4
hpNEAfrica	0 (0.00%)	0 (0.00%)	1 (100.00%)	0 (0.00%)	1
hpNorthAsia	3 (75.00%)	0 (0.00%)	0 (0.00%)	1 (25.00%)	4
hspAfrica1LatinAmerica	2 (4.00%)	1 (2.00%)	21 (42.00%)	26 (52.00%)	50
hspAfrica1SAfrica	1 (8.33%)	0 (0.00%)	5 (41.67%)	6 (50.00%)	12
hspAfrica1WAfrica	0 (0.00%)	0 (0.00%)	2 (66.67%)	1 (33.33%)	3
hspEAsia	8 (4.02%)	7 (3.52%)	66 (33.17%)	118 (59.30%)	199
hspIndigenousNAmerica	3 (100.00%)	0 (0.00%)	0 (0.00%)	0 (0.00%)	3
hspIndigenousSAmerica	1 (33.33%)	0 (0.00%)	1 (33.33%)	1 (33.33%)	3
hspNEurope	21 (23.08%)	2 (2.20%)	25 (27.47%)	43 (47.25%)	91
hspSEurope	8 (27.59%)	0 (0.00%)	1 (3.45%)	20 (68.97%)	29
hspSWEurope	21 (60.00%)	1 (2.86%)	4 (11.43%)	9 (25.71%)	35
hspSWEuropeLatinAmerica	17 (19.54%)	0 (0.00%)	18 (20.69%)	52 (59.77%)	87
hspSiberia	0 (0.00%)	0 (0.00%)	1 (14.29%)	6 (85.71%)	7
chi2=NA (insufficient counts or scipy missing)
