ref	qry	ani	d_cagpai_state	d_cagA	d_vacA	d_res_clarithromycin	d_res_levofloxacin	d_disease_group	d_lineage	sv_burden_abs_diff
GCA_014497595.1	GCA_014497685.1	98.34	0		0.0	0	0	0	0	1
GCA_022921355.1	GCA_022925815.1	97.41	1	0.0	1.0	1	0	0	0	5
GCA_022921355.1	GCA_022924035.1	97.28	1	0.0	1.0	1	0	0	0	0
GCA_022921355.1	GCA_022922415.1	97.28	0	0.0	1.0	0	0	0	0	5
GCA_022921355.1	GCA_023024815.1	97.28	1	0.0	1.0	1	0	0	0	1
GCA_022921355.1	GCA_022924995.1	97.14	0	0.0	1.0	0	0	1	0	2
GCA_022921355.1	GCA_047532155.1	97.39	0	0.0	1.0	1	0	1	0	9
GCA_022921355.1	GCA_022923155.1	97.41	0	0.0	1.0	1	0	0	0	7
GCA_022921355.1	GCA_022921855.1	97.41	1	0.0	1.0	0	0	0	0	3
GCA_022921355.1	GCA_022925875.1	97.28	0	0.0	1.0	1	0	0	0	8
GCA_022921355.1	GCA_022924355.1	97.28	0	0.0	1.0	1	0	1	0	0
GCA_022921355.1	GCA_022922995.1	97.28	1	0.0	1.0	1	0	1	0	7
GCA_022921355.1	GCA_022925255.1	97.28	0	0.0	1.0	1	0	1	0	6
GCA_022921355.1	GCA_022923575.1	97.14	1	0.0	1.0	0	0	1	0	3
GCA_022921355.1	GCA_022921975.1	97.28	0	0.0	1.0	0	0	1	0	8
GCA_022921355.1	GCA_022925945.1	97.41	0	0.0	1.0	0	0	1	0	6
GCA_022921355.1	GCA_022924655.1	97.28	0	0.0	1.0	0	0	0	0	2
GCA_022921355.1	GCA_022923035.1	97.28	1	0.0	1.0	0	0	1	0	3
GCA_022921355.1	GCA_022925775.1	97.41	1	0.0	1.0	1	0	1	0	5
GCA_022921355.1	GCA_022923775.1	97.28	1	0.0	1.0	1	0	1	0	13
GCA_022921355.1	GCA_022922055.1	97.14	1	0.0	1.0	1	0	0	0	3
GCA_022921355.1	GCA_023024715.1	97.29	1	0.0	1.0	1	1	1	0	2
GCA_022921355.1	GCA_022924875.1	97.15	0	0.0	1.0	1	0	0	0	7
GCA_022921355.1	GCA_022923135.1	97.41	0	0.0	1.0	1	0	0	0	7
GCA_022921355.1	GCA_022921455.1	97.28	1	0.0	1.0	1	0	1	0	6
GCA_022921355.1	GCA_022925855.1	97.28	0	0.0	1.0	1	0	0	0	4
GCA_022921355.1	GCA_022924175.1	97.28	0	0.0	1.0	1	0	1	0	5
GCA_022921355.1	GCA_022922955.1	97.28	1	0.0	1.0	1	0	1	0	5
GCA_022921355.1	GCA_022925175.1	97.41	0	0.0	1.0	0	0	1	0	3
GCA_022921355.1	GCA_022923515.1	97.28	1	0.0	1.0	0	0	0	0	4
GCA_022921355.1	GCA_022921935.1	97.14	1	0.0	1.0	0	0	0	0	2
GCA_022921355.1	GCA_022925925.1	97.28	1	0.0	1.0	0	0	0	0	3
GCA_022921355.1	GCA_022924475.1	97.28	0	0.0	1.0	1	0	0	0	1
GCA_022921355.1	GCA_022923015.1	97.28	1	0.0	1.0	0	0	1	0	5
GCA_022921355.1	GCA_022925755.1	97.28	0	0.0	1.0	1	0	1	0	3
GCA_022921355.1	GCA_022923615.1	97.14	1	0.0	1.0	1	0	1	0	0
GCA_022921355.1	GCA_035621155.1	97.15	0	0.0	1.0	0	0	1	0	4
GCA_022921355.1	GCA_022922035.1	97.41	0	1.0	1.0	0	0	0	0	0
GCA_022921355.1	GCA_022969895.1	97.28	0	0.0	1.0	0	0	1	0	2
GCA_022921355.1	GCA_022924735.1	97.41	0	0.0	1.0	1	0	0	0	8
GCA_022921355.1	GCA_022923115.1	97.28	1	0.0	1.0	1	0	0	0	10
GCA_019311445.1	GCA_019671505.1	99.32	0		0.0	0	0	0	0	2
GCA_001940145.1	GCA_022921355.1	97.25	1	0.0	1.0	1	0	1	0	2
GCA_001940145.1	GCA_022925815.1	97.25	0	0.0	1.0	0	0	1	0	3
GCA_001940145.1	GCA_018120495.1	97.04	1	0.0	1.0	1	0	1	0	1
GCA_001940145.1	GCA_019674015.1	97.2	0	0.0	1.0	0	0	0	0	1
GCA_001940145.1	GCA_018121965.1	97.03	0	0.0	1.0	0	0	1	0	3
GCA_001940145.1	GCA_022923155.1	97.25	1	0.0	0.0	0	0	1	0	5
GCA_001940145.1	GCA_002203985.1	97.05	0	0.0	1.0	1	0	0	0	6
GCA_001940145.1	GCA_018120155.1	97.07	1	0.0	1.0	0	0	1	0	1
GCA_001940145.1	GCA_022921215.1	97.11	1	0.0	1.0	0	0	1	0	2
GCA_001940145.1	GCA_018122255.1	97.03	0	0.0	1.0	0	0	1	0	5
GCA_001940145.1	GCA_022925255.1	97.06	1	0.0	1.0	0	0	1	0	4
GCA_001940145.1	GCA_018121915.1	97.04	0	0.0	0.0	0	0	1	0	11
GCA_001940145.1	GCA_022923035.1	97.25	0	0.0	1.0	1	0	1	0	1
GCA_001940145.1	GCA_018121385.1	97.07	1	0.0	1.0	0	0	1	0	3
GCA_001940145.1	GCA_018122185.1	97.03	0	0.0	1.0	0	0	1	0	3
GCA_001940145.1	GCA_022924875.1	97.11	1	0.0	0.0	0	0	1	0	5
GCA_001940145.1	GCA_018120375.1	97.03	0	0.0	1.0	0	0	1	0	4
GCA_001940145.1	GCA_022922955.1	97.11	0	0.0	0.0	0	0	1	0	3
GCA_001940145.1	GCA_018120645.1	97.03	0	0.0	1.0	0	0	1	0	6
GCA_001940145.1	GCA_019674555.1	97.08	1	0.0	1.0	0	0	0	0	1
GCA_001940145.1	GCA_018122125.1	97.03	0	0.0	1.0	0	0	1	0	6
GCA_001940145.1	GCA_022924475.1	97.11	1	0.0	1.0	0	0	1	0	3
GCA_001940145.1	GCA_009741025.1	97.11	0	0.0	0.0	1	0	1	0	5
GCA_001940145.1	GCA_018120315.1	97.18	0	0.0	1.0	0	0	1	0	7
GCA_001940145.1	GCA_022922035.1	97.11	1	1.0	1.0	1	0	1	0	2
GCA_001940145.1	GCA_019671385.1	97.17	0	0.0	0.0	0	0	0	0	2
GCA_001940145.1	GCA_022969895.1	97.2	1	0.0	1.0	1	0	1	0	0
GCA_001940145.1	GCA_019672535.1	97.04	0	1.0	0.0	0	0	0	0	1
GCA_001940145.1	GCA_018120595.1	97.05	0	0.0	1.0	0	0	1	0	2
GCA_001940145.1	GCA_018122065.1	97.17	0	0.0	1.0	0	0	1	0	3
GCA_001940145.1	GCA_022924035.1	97.11	0	0.0	0.0	0	0	1	0	2
GCA_001940145.1	GCA_018120245.1	97.08	0	0.0	0.0	1	0	1	0	3
GCA_001940145.1	GCA_018121695.1	97.0	1	0.0	1.0	1	0	1	0	6
GCA_001940145.1	GCA_022921855.1	97.25	0	0.0	1.0	1	0	1	0	1
GCA_001940145.1	GCA_001940185.1	97.2	0	0.0	1.0	0	0	0	0	2
GCA_001940145.1	GCA_022925875.1	97.11	1	0.0	1.0	0	0	1	0	6
GCA_001940145.1	GCA_019674175.1	97.1	1	0.0	1.0	1	0	0	0	0
GCA_001940145.1	GCA_018122015.1	97.03	1		1.0	0	0	1	0	3
GCA_001940145.1	GCA_022923575.1	97.11	0	0.0	1.0	1	0	1	0	1
GCA_001940145.1	GCA_018120195.1	97.03	1	0.0	1.0	0	0	1	0	7
GCA_001940145.1	GCA_019673335.1	97.07	0	0.0	1.0	0	0	1	0	4
GCA_001940145.1	GCA_018121505.1	97.03	0	0.0	1.0	0	0	1	0	10
GCA_001940145.1	GCA_022921335.1	97.25	0	0.0	1.0	1	0	1	0	1
GCA_001940145.1	GCA_022925775.1	97.25	0	0.0	1.0	0	0	1	0	3
GCA_001940145.1	GCA_003637575.1	97.03	0	0.0	0.0	1	0	1	0	2
GCA_001940145.1	GCA_018120465.1	97.0	1		1.0	0	0	1	0	5
GCA_001940145.1	GCA_019673995.1	97.07	0	0.0	0.0	0	0	0	0	1
GCA_001940145.1	GCA_018121955.1	97.03	0	0.0	1.0	1	0	1	0	6
GCA_001940145.1	GCA_022923135.1	97.25	1	0.0	0.0	0	0	1	0	5
GCA_001940145.1	GCA_018120125.1	97.17	1		1.0	0	0	1	0	11
GCA_001940145.1	GCA_018121475.1	97.21	0	0.0	1.0	0	0	1	0	5
GCA_001940145.1	GCA_019677055.1	97.1	1	0.0	1.0	0	0	0	0	3
GCA_001940145.1	GCA_018122225.1	97.03	0	0.0	1.0	0	0	1	0	4
GCA_001940145.1	GCA_022925175.1	97.11	1	0.0	0.0	1	0	1	0	1
GCA_001940145.1	GCA_018120415.1	97.03	0	0.0	1.0	0	0	1	0	5
GCA_001940145.1	GCA_018121875.1	97.04	0	0.0	1.0	0	0	1	0	6
GCA_001940145.1	GCA_022923015.1	97.11	1	0.0	1.0	1	0	1	0	3
GCA_001940145.1	GCA_018121375.1	97.03	1	0.0	1.0	0	0	1	0	6
GCA_001940145.1	GCA_019676035.1	97.17	0	0.0	0.0	1	0	0	0	8
GCA_001940145.1	GCA_018122175.1	97.03	0	0.0	1.0	0	0	1	0	4
GCA_001940145.1	GCA_022924735.1	97.25	1	0.0	1.0	0	0	1	0	6
GCA_001940145.1	GCA_018120355.1	97.07	0	0.0	0.0	1	0	1	0	1
