GCA_000007325.1	AE009951.2
GCA_000018565.1	CP000875.1
GCA_000063525.1	CT978603.1
GCA_000091165.1	FP565575.1
GCA_000156155.1	DS995299.1
GCA_000163695.1	GG774898.1
GCA_000204585.1	CM001158.1
GCA_000214705.1	CP002770.1
GCA_000224765.2	AGAU01000646.1
GCA_000296795.1	BAFH01000004.1
GCA_000307955.1	ALAO01000001.1
GCA_000309865.1	AMGN01000001.1
GCA_000333815.1	CAPI01000135.1
GCA_000353875.1	APKF01000001.1
GCA_000383715.1	KB911838.1
GCA_000387965.1	APJZ01000001.1
GCA_000428345.2	ATZT02000001.1
GCA_000432575.1	HF996774.1
GCA_000433015.1	HF997978.1
GCA_000433035.1	FR890794.1
GCA_000436095.1	FR884648.1
GCA_000438415.1	FR902207.1
GCA_000484975.1	AXWL01000001.1
GCA_000493945.1	AWNW01000001.1
GCA_000503835.1	CP006914.1
GCA_000508305.1	CP006977.1
GCA_000513055.1	AZYB01000001.1
GCA_000513075.1	AZYC01000001.1
GCA_000517385.1	BAUW01000240.1
GCA_000526255.1	JAFS01000001.1
GCA_000620545.1	KK211149.1
GCA_000681355.2	JJNX02000001.1
GCA_000702525.1	JNIN01000001.1
GCA_000737945.1	JPSP01000001.1
GCA_000739635.1	BATQ01000200.1
GCA_000751555.1	CCEZ01000001.1
GCA_000769715.1	JROS01000005.1
GCA_000802045.1	JUEF01000001.1
GCA_000806115.1	JWKQ01000001.1
GCA_000961765.1	LADT01000024.1
GCA_000990945.1	LBQR01000001.1
GCA_000991205.1	LBRC01000001.1
GCA_000991245.1	LBRD01000001.1
GCA_000991805.1	LBSF01000001.1
GCA_000993275.1	LBVV01000001.1
GCA_000996895.1	LCBB01000001.1
GCA_000998045.1	LCCS01000001.1
GCA_000998805.1	LCFC01000001.1
GCA_001001925.1	LCLH01000001.1
GCA_001007665.1	JXQG01000091.1
GCA_001044335.1	CP011001.1
GCA_001058355.1	JUUF01000001.1
GCA_001273335.1	LFWV01000045.1
GCA_001296005.1	LJHR01000001.1
GCA_001303465.1	LJTR01000173.1
GCA_001305055.1	BBZX01000001.1
GCA_001311985.1	BBCJ01000001.1
GCA_001315925.1	BBBF01000001.1
GCA_001316005.1	BBBJ01000001.1
GCA_001316125.1	BBCS01000001.1
GCA_001316285.1	BBDO01000001.1
GCA_001316325.1	BBES01000001.1
GCA_001321855.1	JPUP01000001.1
GCA_001412335.1	LKUF01000001.1
GCA_001412355.1	LKUD01000001.1
GCA_001421175.1	LJKL01000016.1
GCA_001421185.1	LJKK01000055.1
GCA_001443385.1	LDXP01000001.1
GCA_001465015.1	LNEO01000001.1
GCA_001468925.1	LDIX01000001.1
GCA_001487125.1	LN913007.1
GCA_001507955.1	LGEU01000130.1
GCA_001508335.1	LGFX01000001.1
GCA_001508935.1	LGFQ01000086.1
GCA_001509095.1	LGGV01000121.1
GCA_001509335.1	LGGY01000264.1
GCA_001512485.1	LFRV01000127.1
GCA_001513125.1	LFSN01000011.1
GCA_001513385.1	LFTK01000143.1
GCA_001513545.1	LFTQ01000077.1
GCA_001515185.1	LQHI01000001.1
GCA_001552015.1	CP010514.1
GCA_001563335.1	LRSL01000001.1
GCA_001564115.1	LKNG01000022.1
GCA_001567485.1	JZRA01000001.1
GCA_001593855.1	LUCC01000065.1
GCA_001594145.1	LVCF01000001.1
GCA_001602645.1	LUYE01000001.1
GCA_001603075.1	LVBB01000001.1
GCA_001603805.1	LUZY01000001.1
GCA_001610955.1	CP014335.1
GCA_001628815.1	CP014963.1
GCA_001641205.1	LSMX01000004.1
GCA_001641225.1	LSMY01000004.1
GCA_001689515.1	LUJR01000001.1
GCA_001695645.1	LVZN01000001.1
GCA_001717025.1	MAGU01000001.1
GCA_001717035.1	MAGT01000001.1
GCA_001751005.1	MAXL01000001.1
GCA_001751225.1	MAXT01000001.1
GCA_001766965.1	MEKM01000001.1
GCA_001767525.1	MELF01000001.1
GCA_001767575.1	MELI01000001.1
GCA_001769215.1	MEOL01000001.1
GCA_001769975.1	MEPW01000001.1
GCA_001770015.1	MEQB01000001.1
GCA_001771285.1	METI01000001.1
GCA_001771575.1	MEUD01000001.1
GCA_001773135.1	MEVX01000001.1
GCA_001773385.1	MEWJ01000001.1
GCA_001774455.1	MFAC01000001.1
GCA_001775255.1	MFCJ01000001.1
GCA_001775955.1	MEZD01000001.1
GCA_001777915.1	MFFN01000001.1
GCA_001777995.1	MFFV01000001.1
GCA_001778495.1	MFHE01000001.1
GCA_001783595.1	MFMW01000001.1
GCA_001784535.1	MFRJ01000001.1
GCA_001788395.1	MGBT01000001.1
GCA_001788415.1	MGBV01000001.1
GCA_001788495.1	MGCF01000001.1
GCA_001790315.1	MGCE01000001.1
GCA_001790955.1	MGDP01000001.1
GCA_001795315.1	MGOH01000001.1
GCA_001795535.1	MGPK01000001.1
GCA_001796355.1	MGMG01000001.1
GCA_001796415.1	MGML01000001.1
GCA_001797445.1	MGPO01000001.1
GCA_001797465.1	MGPQ01000001.1
GCA_001798455.1	MGSI01000001.1
GCA_001798565.1	MGSR01000001.1
GCA_001798885.1	MGQW01000001.1
GCA_001799285.1	MGTD01000001.1
GCA_001799715.1	MGTZ01000001.1
GCA_001799845.1	MGUG01000001.1
GCA_001800135.1	MGUU01000001.1
GCA_001800185.1	MGUX01000001.1
GCA_001800675.1	MGVW01000001.1
GCA_001800815.1	MGWC01000001.1
GCA_001803635.1	MHDU01000001.1
GCA_001803795.1	MHEK01000001.1
GCA_001805005.1	MHDO01000001.1
GCA_001805105.1	MHEE01000001.1
GCA_001805245.1	MHEU01000001.1
GCA_001805575.1	MHGN01000001.1
GCA_001805845.1	MHHA01000001.1
GCA_001805965.1	MHHG01000001.1
GCA_001824915.1	MHTS01000001.1
GCA_001825335.1	MHWA01000001.1
GCA_001828545.1	MHYW01000001.1
GCA_001829395.1	MIBD01000001.1
GCA_001871685.1	MNVK01000021.1
GCA_001872945.1	MNYC01000059.1
GCA_001873075.1	MNYL01000047.1
GCA_001873105.1	MNYN01000056.1
GCA_001873745.1	MNZQ01000058.1
GCA_001873935.1	MNYH01000075.1
GCA_001875345.1	MIZA01000001.1
GCA_001875425.1	MIYU01000001.1
GCA_001896715.1	MPOY01000017.1
GCA_001914535.1	MNCR01000031.1
GCA_001914705.1	MNDB01000005.1
GCA_001914815.1	MNDG01000112.1
GCA_001916215.1	MNRZ01000053.1
GCA_001917585.1	MNEG01000074.1
GCA_001917665.1	MNEL01000027.1
GCA_001918155.1	MNFJ01000148.1
GCA_001918765.1	MNGO01000055.1
GCA_001918935.1	MNGW01000128.1
GCA_001919865.1	MNIR01000087.1
GCA_001919995.1	MNIY01000148.1
