query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	skani_ani	skani_align_frac_ref	skani_align_frac_query	s2b_ani	s2b_ani_uniform	s2b_af_q	s2b_af_r	s2b_std_err	s2b_het_shape	s2b_retention	s2b_ani_from_loss	s2b_ani_from_hist	s2b_n_anchors	s2b_n_chains	s2b_n_tags	s2b_flag	fastani_ani
GCA_002375995.1	GCA_002010365.1	mid_high	d__Bacteria	d__Bacteria	p__Bipolaricaulota	p__Bipolaricaulota	g__UBA3571	g__UBA3571	s__UBA3571 sp002375995	s__UBA3571 sp002010365				96.410300	96.410300	0.000800	0.001100	1.746260	inf	0.756800	95.190000	97.498600	91	1	6	ok	
GCA_002010365.1	GCA_002011425.1	mid_high	d__Bacteria	d__Bacteria	p__Bipolaricaulota	p__Bipolaricaulota	g__UBA3571	g__UBA3571	s__UBA3571 sp002010365	s__UBA3571 sp002011425						0.000000	0.000000						66	0	0	BELOW_DETECTION	
GCA_001464115.1	GCA_016185065.1	mid_high	d__Bacteria	d__Bacteria	p__Chlamydiota	p__Chlamydiota	g__Ga0074140	g__Ga0074140	s__Ga0074140 sp001464115	s__Ga0074140 sp016185065						0.000000	0.000000						15	0	0	BELOW_DETECTION	
GCF_003634015.1	GCF_014652455.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Litorimonas	g__Litorimonas	s__Litorimonas taeanensis	s__Litorimonas cladophorae						0.000000	0.000000						20	0	0	BELOW_DETECTION	
GCF_014652695.1	GCF_003634015.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Litorimonas	g__Litorimonas	s__Litorimonas arctica	s__Litorimonas taeanensis						0.000000	0.000000						17	0	0	BELOW_DETECTION	
GCA_002898935.1	GCA_011053555.1	mid_high	d__Bacteria	d__Bacteria	p__CSP1-3	p__CSP1-3	g__HRBIN32	g__HRBIN32	s__HRBIN32 sp002898935	s__HRBIN32 sp011053555				98.509400	98.509400	0.005600	0.004900	0.469480	inf	0.905800	98.673500	98.440800	236	2	24	ok	
GCA_000010645.1	GCA_002091395.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Azobacteroides	g__Azobacteroides	s__Azobacteroides pseudotrichonymphae_B	s__Azobacteroides pseudotrichonymphae_A						0.000000	0.000000						17	0	0	BELOW_DETECTION	
GCF_000482785.1	GCF_002105195.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Derxia	g__Derxia	s__Derxia gummosa	s__Derxia lacustris	0.865600	0.275700	0.290900	85.201000	90.417400	0.729500	0.721800	0.074740	1.729000	0.302100	89.670600	94.908900	3241	84	10570	INCONSISTENT	
GCA_002420145.1	GCA_903928655.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA4416	g__UBA4416	s__UBA4416 sp002420145	s__UBA4416 sp903928655						0.000000	0.000000						50	0	0	BELOW_DETECTION	
GCA_903928655.1	GCA_903893815.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA4416	g__UBA4416	s__UBA4416 sp903928655	s__UBA4416 sp903893815						0.000000	0.000000						46	0	0	BELOW_DETECTION	
GCA_903928655.1	GCA_016711805.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA4416	g__UBA4416	s__UBA4416 sp903928655	s__UBA4416 sp016711805						0.000000	0.000000						34	0	0	BELOW_DETECTION	
GCA_002390745.1	GCA_903928655.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA4416	g__UBA4416	s__UBA4416 sp002390745	s__UBA4416 sp903928655						0.000000	0.000000						8	0	0	BELOW_DETECTION	
GCA_005800865.1	GCA_903834765.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA4416	g__UBA4416	s__UBA4416 sp005800865	s__UBA4416 sp903834765						0.000000	0.000000						29	0	0	BELOW_DETECTION	
GCA_017534705.1	GCA_017509605.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__RUG11857	g__RUG11857	s__RUG11857 sp017534705	s__RUG11857 sp017509605	0.865700	0.183400	0.199500	91.220800	93.660700	0.155400	0.143800	0.197370	1.434000	0.537700	92.768000	95.876700	894	49	852	INCONSISTENT	
GCA_017534705.1	GCA_902773225.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__RUG11857	g__RUG11857	s__RUG11857 sp017534705	s__RUG11857 sp902773225	0.864600	0.206500	0.239000	92.385100	93.339700	0.096000	0.081300	0.240810	3.355000	0.514600	92.813600	94.825700	942	45	593	INCONSISTENT	
GCA_017509605.1	GCA_902773225.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__RUG11857	g__RUG11857	s__RUG11857 sp017509605	s__RUG11857 sp902773225				90.154400	90.154400	0.043900	0.039900	0.491550	inf	0.302800	90.567100	86.865400	556	14	239	INCONSISTENT	
GCF_000413055.1	GCF_000468055.1	mid_high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Treponema_C	g__Treponema_C	s__Treponema_C maltophilum	s__Treponema_C lecithinolyticum				94.763100	95.796400	0.024500	0.025400	0.376620	1.392000	0.706100	95.157400	96.665200	203	9	136	ok	
GCA_905372025.1	GCF_000413055.1	mid_high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Treponema_C	g__Treponema_C	s__Treponema_C sp905372025	s__Treponema_C maltophilum	0.931600	0.704000	0.634600	93.820300	94.860600	0.706200	0.797600	0.077570	2.086000	0.631100	94.118600	96.169700	2511	96	4136	INCONSISTENT	
GCA_012798435.1	GCA_011368045.1	mid_high	d__Bacteria	d__Bacteria	p__Myxococcota	p__Myxococcota	g__JAAZNF01	g__JAAZNF01	s__JAAZNF01 sp012798435	s__JAAZNF01 sp011368045	0.837800	0.239800	0.179300	89.219000	90.279100	0.245900	0.329100	0.175670	6.138000	0.308300	89.976800	92.383500	966	62	1945	INCONSISTENT	
GCA_018065645.1	GCA_900319595.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Phil12	g__Phil12	s__Phil12 sp018065645	s__Phil12 sp900319595						0.000000	0.000000						9	0	0	BELOW_DETECTION	
GCA_018065645.1	GCA_002633275.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Phil12	g__Phil12	s__Phil12 sp018065645	s__Phil12 sp002633275						0.000000	0.000000						11	0	0	BELOW_DETECTION	
GCA_018065645.1	GCA_017934545.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Phil12	g__Phil12	s__Phil12 sp018065645	s__Phil12 sp017934545						0.000000	0.000000						8	0	0	BELOW_DETECTION	
GCA_017469625.1	GCA_017477025.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Phil12	g__Phil12	s__Phil12 sp017469625	s__Phil12 sp017477025						0.000000	0.000000						16	0	0	BELOW_DETECTION	
GCA_017633985.1	GCA_017480245.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Phil12	g__Phil12	s__Phil12 sp017633985	s__Phil12 sp017480245				96.000000	96.000000	0.000400	0.000600	1.600000	inf	0.727800	99.999900	92.082300	121	1	5	ok	
GCF_009910365.1	GCA_003520285.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Aequoribacter	g__Aequoribacter	s__Aequoribacter fuscus	s__Aequoribacter sp003520285				98.621700	98.621700	0.006300	0.010700	0.396560	inf	0.915900	98.931600	98.517300	43	3	31	ok	
GCA_018000455.1	GCA_902826515.1	mid_high	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Acidobacteriota	g__CADEFD01	g__CADEFD01	s__CADEFD01 sp018000455	s__CADEFD01 sp902826515				89.346500	89.346500	0.257700	0.231000	0.154130	inf	0.245700	89.199600	90.737500	1391	72	2894	INCONSISTENT	
GCA_016789705.1	GCA_018000455.1	mid_high	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Acidobacteriota	g__CADEFD01	g__CADEFD01	s__CADEFD01 sp016789705	s__CADEFD01 sp018000455	0.827400	0.157300	0.162100	87.553000	88.653600	0.353000	0.338600	0.140220	8.426000	0.213500	88.425300	91.151700	1238	67	4015	INCONSISTENT	
GCA_902826065.1	GCA_016789705.1	mid_high	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Acidobacteriota	g__CADEFD01	g__CADEFD01	s__CADEFD01 sp902826065	s__CADEFD01 sp016789705				89.838400	89.838400	0.093600	0.104700	0.231540	inf	0.271300	89.685900	91.222400	1098	45	1174	INCONSISTENT	
GCA_002328585.1	GCA_011332585.1	mid_high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__UBA4802	g__UBA4802	s__UBA4802 sp002328585	s__UBA4802 sp011332585						0.000000	0.000000						39	0	0	BELOW_DETECTION	
GCA_017649895.1	GCA_902790255.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__UBA3830	g__UBA3830	s__UBA3830 sp017649895	s__UBA3830 sp902790255				89.826600	89.826600	0.043800	0.044500	1.089480	inf	0.292100	89.906000	89.854300	104	2	54	ok	
