GCF_000724795.2	NZ_CP036550.1
GCF_000829295.1	NZ_AP014658.1
GCF_001293145.1	NZ_CP010453.1
GCF_001594265.1	NZ_CP012959.1
GCF_002753955.1	NZ_CP024601.1
GCF_002754055.1	NZ_CP024593.1
GCF_003293635.1	NZ_CP026548.1
GCF_003312465.1	NZ_CP030777.1
GCF_003471045.1	NZ_QRID01000001.1
GCF_003475515.1	NZ_QRQN01000001.1
GCF_004104435.1	NZ_CP033388.1
GCF_004319565.1	NZ_CP036293.1
GCF_004936435.1	NZ_CP026999.1
GCF_006739205.1	NZ_AP019720.1
GCF_008831325.1	NZ_CP044493.1
GCF_009738105.1	NZ_CP044221.1
GCF_009738515.1	NZ_CP046514.1
GCF_010223135.1	NZ_CP027007.1
GCF_010230515.1	NZ_CP029703.1
GCF_010230935.1	NZ_CP029705.1
GCF_011765525.1	NZ_CP050272.1
GCF_013378355.1	NZ_CP040798.1
GCF_015554785.1	NZ_JADNJF010000010.1
GCF_015555785.1	NZ_JADNLD010000100.1
GCF_016889925.1	NZ_CP069563.1
GCF_017570525.1	NZ_CP071888.1
GCF_017743155.1	NZ_CP072500.1
GCF_018141605.1	NZ_CP065397.1
GCF_018141805.1	NZ_CP073348.1
GCF_018847215.1	NZ_CP072028.1
GCF_018847575.1	NZ_CP072045.1
GCF_019967955.1	NZ_CP065382.1
GCF_019968015.1	NZ_CP065378.1
GCF_019968055.1	NZ_CP065380.1
GCF_023497585.1	NZ_CP097279.1
GCF_023517835.1	NZ_CP085090.1
GCF_023517855.1	NZ_CP085091.1
GCF_023517915.1	NZ_CP085094.1
GCF_023518055.1	NZ_CP085096.1
GCF_023702735.1	NZ_CP098482.1
GCF_023822425.1	NZ_CP092048.1
GCF_024730745.1	NZ_CP093913.1
GCF_025151715.1	NZ_CP102289.1
GCF_025449295.1	NZ_CP104882.1
GCF_027668125.1	NZ_JAQEFF010000001.1
GCF_028743275.1	NZ_CP117955.1
GCF_030144345.1	NZ_CP126309.1
GCF_030440475.1	NZ_CP098924.1
GCF_036419235.1	NZ_CP143939.1
GCF_037889105.1	NZ_CP077184.1
GCF_037889145.1	NZ_CP077126.1
GCF_037889235.1	NZ_CP077141.1
GCF_037889325.1	NZ_CP084119.1
GCF_037889375.1	NZ_CP084131.1
GCF_037889385.1	NZ_CP084132.1
GCF_037951365.1	NZ_CP084142.1
GCF_037953125.1	NZ_CP084147.1
GCF_037955445.1	NZ_CP084137.1
GCF_040026365.1	NZ_CP157286.1
GCF_040687795.1	NZ_CP131534.1
GCF_044360185.1	NZ_CP133475.1
GCF_046603915.1	NZ_CP176639.1
GCF_049532935.1	NZ_CP186690.1
GCF_050220455.1	NZ_CP071414.1
GCF_050222305.1	NZ_CP071421.1
GCF_050225395.1	NZ_CP071431.1
GCF_050225505.1	NZ_CP071433.1
GCF_050225895.1	NZ_CP071434.1
GCF_050226025.1	NZ_CP071435.1
GCF_050229115.1	NZ_CP076612.1
GCF_051201525.1	NZ_CP170812.1
GCF_054189165.1	NZ_CM135187.1
GCF_055523435.1	NZ_CM145511.1
GCF_056494015.1	NZ_CM151391.1
GCF_057218265.1	NZ_CM170107.1
GCF_057457685.1	NZ_CP165971.1
GCF_058684255.1	NZ_CM178757.1
GCF_058693915.1	NZ_CP186329.1
GCF_059072175.1	NZ_CM180982.1
GCF_900475045.1	NZ_LS483346.1
GCF_902388275.1	NZ_LR699017.1
