genome	n_markers	n_present	fraction_present	status	missing_markers	status_extended	n_cag_sv	cag_sv_types	cag_sv_list
GCA_000148875.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ	complete_rearranged	1	TRA	TRA:456998-1067641
GCA_000255955.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:579865-1040877;TRA:474832-579149
GCA_000262655.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ	complete_rearranged	2	DEL;INV	INV:516669-816272;DEL:556375-558173
GCA_000270045.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_collinear	0	none	none
GCA_000274565.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	2	TRA	TRA:1459-1666206;TRA:217381-1057561
GCA_000274605.1	28	4	0.14285714285714285	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE	empty	3	DEL;TRA	TRA:1459-1658994;DEL:546400-578762;TRA:465489-1044689
GCA_000274645.2	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_000274665.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ	complete_rearranged	3	TRA	TRA:181741-1067641;TRA:1459-1666206;TRA:135295-1253100
GCA_000274685.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_000274705.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	3	INV;TRA	INV:516627-549665;TRA:26572-1067476;TRA:1459-1666206
GCA_000274905.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1656308
GCA_000274925.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
