NZ_CP013217.1	2964527	2136444	2418089	+	NZ_QZNE01000001.1	280799	0	280793	6032	281645	7
NZ_CP013217.1	2964527	2554408	2757494	+	NZ_QZNE01000006.1	226103	66	222545	4350	222479	6
NZ_CP013217.1	2964527	1181296	1331107	+	NZ_QZNE01000002.1	194587	49772	194135	3828	149811	8
NZ_CP013217.1	2964527	877477	1019729	+	NZ_QZNE01000005.1	140789	156	140789	3480	142252	8
NZ_CP013217.1	2964527	1929139	2086788	+	NZ_QZNE01000004.1	159307	1816	159307	3451	157649	7
NZ_CP013217.1	2964527	1442764	1550224	+	NZ_QZNE01000011.1	187434	78748	184889	3161	107460	10
NZ_CP013217.1	2964527	587248	704935	+	NZ_QZNE01000008.1	124072	1995	121234	2842	119239	8
NZ_CP013217.1	2964527	173582	287269	+	NZ_QZNE01000010.1	116149	0	113343	2726	113687	8
NZ_CP013217.1	2964527	1836014	1925941	+	NZ_QZNE01000012.1	98556	225	97133	2494	96908	8
NZ_CP013217.1	2964527	467188	580256	+	NZ_QZNE01000009.1	118740	0	118579	2320	118579	6
NZ_CP013217.1	2964527	714613	791608	+	NZ_QZNE01000015.1	86280	1183	83861	1972	82678	8
NZ_CP013217.1	2964527	1729032	1835049	-	NZ_QZNE01000007.1	183771	534	92697	1914	106017	6
NZ_CP013217.1	2964527	794920	876010	+	NZ_QZNE01000016.1	83327	873	81962	1856	81090	7
NZ_CP013217.1	2964527	1021809	1090512	-	NZ_QZNE01000018.1	75501	559	69267	1827	68708	9
NZ_CP013217.1	2964527	1553286	1630571	-	NZ_QZNE01000017.1	80941	0	80767	1740	80767	7
NZ_CP013217.1	2964527	1369573	1429302	+	NZ_QZNE01000011.1	187434	2622	63984	1711	61362	9
NZ_CP013217.1	2964527	2850421	2963002	-	NZ_QZNE01000003.1	182035	63917	182035	1682	118118	4
NZ_CP013217.1	2964527	409235	459811	-	NZ_QZNE01000013.1	94637	1498	54460	1624	52962	10
NZ_CP013217.1	2964527	2772346	2824993	+	NZ_QZNE01000019.1	54651	450	53166	1566	52716	10
NZ_CP013217.1	2964527	0	61760	-	NZ_QZNE01000003.1	182035	688	62794	1508	62106	8
NZ_CP013217.1	2964527	2088042	2135919	+	NZ_QZNE01000020.1	50204	1515	49268	1392	47877	10
NZ_CP013217.1	2964527	1664755	1714571	-	NZ_QZNE01000007.1	183771	134287	183771	1160	49816	8
NZ_CP013217.1	2964527	101603	171852	-	NZ_QZNE01000014.1	86749	1809	69300	1073	70249	5
NZ_CP013217.1	2964527	1091391	1141158	+	NZ_QZNE01000002.1	194587	415	50302	1044	49887	7
NZ_CP013217.1	2964527	358962	400524	-	NZ_QZNE01000013.1	94637	55246	94270	1015	41562	8
NZ_CP013217.1	2964527	2512087	2541365	-	NZ_QZNE01000023.1	31888	364	29637	957	29278	11
NZ_CP013217.1	2964527	311023	353383	-	NZ_QZNE01000021.1	40588	424	39280	928	42360	7
NZ_CP013217.1	2964527	1631010	1656570	-	NZ_QZNE01000024.1	27393	1197	26754	522	25560	7
NZ_CP013217.1	2964527	1331214	1355130	+	NZ_QZNE01000022.1	40148	0	23436	493	23916	7
NZ_CP013217.1	2964527	2484407	2497095	+	NZ_QZNE01000026.1	15935	2062	14693	435	12688	11
NZ_CP013217.1	2964527	2831424	2844346	-	NZ_QZNE01000028.1	14710	1656	14575	406	12922	10
NZ_CP013217.1	2964527	2471228	2480317	-	NZ_QZNE01000032.1	10422	1808	10422	377	9089	14
NZ_CP013217.1	2964527	2542001	2553933	+	NZ_QZNE01000029.1	14677	0	14657	377	14657	8
NZ_CP013217.1	2964527	67470	77137	-	NZ_QZNE01000014.1	86749	76828	86506	290	9678	10
NZ_CP013217.1	2964527	295882	307350	+	NZ_QZNE01000027.1	15511	1639	13107	290	11468	8
NZ_CP013217.1	2964527	2499477	2507408	-	NZ_QZNE01000031.1	11136	2016	9936	203	7931	8
NZ_CP013217.1	2964527	1725609	1728667	-	NZ_QZNE01000007.1	183771	130795	133853	174	3058	19
NZ_CP013217.1	2964527	1725120	1728107	-	NZ_QZNE01000007.1	183771	131912	133782	174	2987	20
NZ_CP013217.1	2964527	2465202	2470729	+	NZ_QZNE01000034.1	7316	1593	7120	116	5527	7
