query	reference	ani	shared_tags
GCA_002368955.1	GCA_002409455.1	0.0000	0
GCA_002368955.1	GCF_014217625.1	0.0000	2
GCA_002368955.1	GCA_002393725.1	0.0000	0
GCA_002368955.1	GCA_002427545.1	0.0000	0
GCA_002368955.1	GCF_014635045.1	0.0000	0
GCA_002368955.1	GCA_002411545.1	0.0000	1
GCA_002368955.1	GCA_002450655.1	0.0000	0
GCA_002368955.1	GCF_014651875.1	0.0000	0
GCA_002368955.1	GCA_002428325.1	0.0000	0
GCA_002368955.1	GCA_002491065.1	0.0000	1
GCA_002368955.1	GCF_014863405.1	0.0000	0
GCA_002368955.1	GCA_002451155.1	0.0000	0
GCA_002368955.1	GCA_002683655.1	0.0000	0
GCA_002368955.1	GCF_015560805.1	0.0000	0
GCA_002368955.1	GCA_002491165.1	0.0000	1
GCA_002368955.1	GCA_002699185.1	0.0000	0
GCA_002368955.1	GCF_016583785.1	0.0000	0
GCA_002368955.1	GCA_002683335.1	0.0000	0
GCA_002368955.1	GCA_002713825.1	0.0000	0
GCA_002368955.1	GCF_016862995.1	0.0000	0
GCA_002368955.1	GCA_002698305.1	0.0000	0
GCA_002368955.1	GCA_002726615.1	0.0000	0
GCA_002368955.1	GCF_017165745.1	0.0000	2
GCA_002368955.1	GCA_002712415.1	0.0000	0
GCA_002368955.1	GCA_002762975.1	0.0000	0
GCA_002368955.1	GCF_017837635.1	0.0000	0
GCA_002368955.1	GCA_002724735.1	0.0000	1
GCA_002368955.1	GCA_002793515.1	0.0000	0
GCA_002368955.1	GCF_018221685.1	0.0000	0
GCA_002368955.1	GCA_002748055.1	0.0000	0
GCA_002368955.1	GCA_002869855.2	0.0000	0
GCA_002368955.1	GCF_018614875.1	0.0000	1
GCA_002368955.1	GCA_002788395.1	0.0000	0
GCA_002368955.1	GCA_003105185.1	0.0000	0
GCA_002368955.1	GCF_019048865.1	0.0000	1
GCA_002368955.1	GCA_002862095.1	0.0000	1
GCA_002368955.1	GCA_003150235.1	0.0000	2
GCA_002368955.1	GCF_900095865.1	0.0000	0
GCA_002368955.1	GCA_003022255.1	0.0000	0
GCA_002368955.1	GCA_003164275.1	0.0000	1
GCA_002368955.1	GCF_900103715.1	0.0000	0
GCA_002368955.1	GCA_003139735.1	0.0000	0
GCA_002368955.1	GCA_003213515.1	0.0000	0
GCA_002368955.1	GCF_900108105.1	0.0000	0
GCA_002368955.1	GCA_003156795.1	0.0000	0
GCA_002368955.1	GCA_003224695.1	0.0000	0
