Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_000428345.2.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014190035.1.fna	92.36	60.77	45.60	ATZT02000001.1 Actinobacterium SCGC AAA028-N15 D414DRAFT_2518285954.1_C, whole genome shotgun sequence	BJFU01000001.1 Actinobacteria bacterium LBMAG_Actinobacteria_epi.bin4_acTH1 DNA, sequence001, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013205455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014190155.1.fna	92.88	78.59	61.11	JABMMO010000002.1 Actinobacteria bacterium isolate bin.494 k141_106134, whole genome shotgun sequence	BJFY01000001.1 Actinobacteria bacterium LBMAG_Actinobacteria_hypo.bin2_acI DNA, sequence01, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_010031285.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014190615.1.fna	84.60	15.02	10.72	RHAY01000001.1 Methylophilaceae bacterium isolate WBA_1B_003 contig_100_0, whole genome shotgun sequence	BJGS01000001.1 Methylophilaceae bacterium LBMAG_Betaproteobacteria_hypo.bin1_LD28 DNA, sequence001, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012032965.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014058405.1.fna	89.23	44.84	26.00	JAAUPT010000321.1 Nitrospira sp. isolate RL_2_10 NODE_10021_length_3539_cov_1.712485, whole genome shotgun sequence	CP047423.1 Candidatus Nitrospira kreftii isolate comreactor17 chromosome, complete genome
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002440665.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	85.26	34.49	34.51	DJUX01000045.1 TPA_asm: Dechloromonas sp. UBA6271 UBA6271_contig_1, whole genome shotgun sequence	CP054864.1 Dechloromonas sp. isolate SSB2 chromosome
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362315.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361685.1.fna	87.84	23.66	19.79	JABFWL010000443.1 Catenulispora sp. isolate Bin1.32 NODE_10018_length_5564_cov_6.577506, whole genome shotgun sequence	JABFXP010000018.1 Catenulispora sp. isolate Bin6.9 NODE_1000_length_13436_cov_27.005843, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013375475.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013375495.1.fna	84.34	25.83	23.86	JABXKD010000100.1 Candidatus Lokiarchaeota archaeon isolate Hel_238_bin105 NODE_100_length_11608_cov_26.246553, whole genome shotgun sequence	JABXKC010000100.1 Candidatus Lokiarchaeota archaeon isolate Hel_238_bin90 NODE_100_length_3057_cov_8.885235, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011525035.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911625.1.fna	91.19	40.90	79.50	WTIZ01000032.1 Cryomorphaceae bacterium isolate PL36326bin_6 NODE_10410_length_3716_cov_45.332969, whole genome shotgun sequence	JACESW010000001.1 Cryomorphaceae bacterium isolate MCMED-G26 Cryomorphaceae-MCMED-G26-C1, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012269745.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911625.1.fna	87.52	14.13	31.25	JAAXJR010000057.1 Flavobacteriales bacterium isolate SW42617_bin_7 NODE_10089_length_2603_cov_664.951334, whole genome shotgun sequence	JACESW010000001.1 Cryomorphaceae bacterium isolate MCMED-G26 Cryomorphaceae-MCMED-G26-C1, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009886265.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002862645.1.fna	87.16	40.85	41.96	QXZR01000001.1 Flavobacteriaceae bacterium isolate NorthSea_HE361-14_B40 BWM14_Refined_36_1, whole genome shotgun sequence	PKDQ01000026.1 Flavobacteriaceae bacterium isolate Bacter12 c_000000000012, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002698745.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002862645.1.fna	85.36	28.17	29.74	PAAD01000044.1 Flavobacteriaceae bacterium isolate NAT231 12810, whole genome shotgun sequence	PKDQ01000026.1 Flavobacteriaceae bacterium isolate Bacter12 c_000000000012, whole genome shotgun sequence
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002708985.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002862745.1.fna	87.02	54.33	52.27	PAPS01000001.1 Saprospirales bacterium isolate SP157 34675, whole genome shotgun sequence	PKDX01000021.1 Bacteroidetes bacterium isolate Bacter5 c_000000000007, whole genome shotgun sequence
