query_file	ref_file	ani	af_q	af_r	query_name	ref_name	shared_tags	sv_count
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911625.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012269745.1.s2ba	0.8061	0.0535	0.0099	GCA_013911625.1	GCA_012269745.1	30	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911625.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_011525035.1.s2ba	0.8229	0.1996	0.0396	GCA_013911625.1	GCA_011525035.1	112	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911715.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002706445.1.s2ba	0.8631	0.0034	0.0017	GCA_013911715.1	GCA_002706445.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002841195.1.s2ba	0.8473	0.0026	0.0013	GCA_013911835.1	GCA_002841195.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002336975.1.s2ba	0.8562	0.0026	0.0014	GCA_013911835.1	GCA_002336975.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012517025.1.s2ba	0.8495	0.0026	0.0011	GCA_013911835.1	GCA_012517025.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013911835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_011054555.1.s2ba	0.8072	0.0409	0.0284	GCA_013911835.1	GCA_011054555.1	159	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002862645.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002698745.1.s2ba	0.8109	0.0318	0.0107	GCA_002862645.1	GCA_002698745.1	15	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002862645.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009886265.1.s2ba	0.8118	0.0699	0.0185	GCA_002862645.1	GCA_009886265.1	33	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361335.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_003105185.1.s2ba	0.8568	0.0019	0.0013	GCA_013361335.1	GCA_003105185.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361335.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013360595.1.s2ba	0.8716	0.0019	0.0019	GCA_013361335.1	GCA_013360595.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002862745.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002708985.1.s2ba	0.8095	0.0862	0.0303	GCA_002862745.1	GCA_002708985.1	69	0
