experiment	band	n	MAE	RMSE	bias	r
raw_gamma	0.8-0.85	463	3.571	4.3732	2.3204	0.2338
raw_gamma	0.85-0.9	829	3.5289	4.1878	3.2065	0.2987
raw_gamma	0.9-0.95	689	1.8175	2.2355	1.6533	0.6141
raw_gamma	0.95-0.99	72	1.1589	1.4604	1.0859	0.5295
raw_gamma	all	2053	2.8809	3.6258	2.411	0.7055
A_base9_ridge	0.8-0.85	463	0.9604	1.3604	0.5649	0.3639
A_base9_ridge	0.85-0.9	829	0.8712	1.3353	0.3828	0.621
A_base9_ridge	0.9-0.95	689	1.1055	1.4255	-0.9342	0.7379
A_base9_ridge	0.95-0.99	72	1.388	1.8597	-1.2181	0.1406
A_base9_ridge	all	2053	0.9881	1.3931	-0.0743	0.906
B_expanded_ridge	0.8-0.85	463	0.9507	1.3699	0.4921	0.3591
B_expanded_ridge	0.85-0.9	829	0.8459	1.2858	0.3848	0.6546
B_expanded_ridge	0.9-0.95	689	1.0784	1.3982	-0.8748	0.7327
B_expanded_ridge	0.95-0.99	72	1.2863	1.7269	-1.1082	0.2086
B_expanded_ridge	all	2053	0.963	1.3607	-0.0661	0.9097
C_expanded_gbrt	0.8-0.85	463	1.0585	1.375	0.9641	0.3181
C_expanded_gbrt	0.85-0.9	829	1.1201	1.3804	-0.1029	0.6741
C_expanded_gbrt	0.9-0.95	689	1.4462	1.7155	-1.1205	0.7423
C_expanded_gbrt	0.95-0.99	72	1.3474	1.9128	-1.3352	-0.1246
C_expanded_gbrt	all	2053	1.2236	1.5205	-0.247	0.8869
