query_asm	ref_asm	band	anim_ani	ani_gated	ani_npmle	lrt_np	ani_spatial
GCA_013390615.1	GCA_903839205.1	0.8-0.85	85.8089	90.1088	89.83626837513172	3.642582731151151	90.1088
GCA_001914815.1	GCA_001918935.1	0.8-0.85	86.897	91.6093	91.4231952610728	2.6391609079159934	91.6093
GCA_011772475.1	GCA_011049545.1	0.8-0.85	86.5123	90.0483	89.97283443485694	0.2153159188120526	90.0483
GCA_016789705.1	GCA_018000455.1	0.8-0.85	84.7165	87.553	87.10930899657939	0.510983795442371	87.553
GCA_016720465.1	GCA_016722505.1	0.8-0.85	85.8692	87.9081	80.11655954559193	2.190254061060841	87.9081
GCF_000428885.1	GCA_017859995.1	0.8-0.85	86.0336	91.1827	90.96517273145687	3.2190410549897024	91.1827
GCA_016192845.1	GCA_001767525.1	0.8-0.85	87.3813	89.8413	87.64742196563887	0.5602774757708175	89.8413
GCA_009835985.1	GCA_002238705.1	0.8-0.85	86.3103	90.2316	88.83940910365486	0.06933185834282085	90.2316
GCA_003530835.1	GCA_014189895.1	0.8-0.85	83.7562	89.077	86.2979296332086	0.12990896687179543	89.077
GCA_002414905.1	GCA_016714815.1	0.8-0.85	86.0132	89.8214	89.91335814386767	0.8233524349702748	89.8214
GCA_009694585.1	GCA_014190275.1	0.8-0.85	84.4572	88.9106	88.2329541991306	2.0435725562072093	88.9106
GCF_010287905.1	GCA_014803435.1	0.8-0.85	86.2973	87.7924	87.85140201737617	0.5520232921044226	87.7924
GCF_000152705.1	GCF_001427985.1	0.8-0.85	85.7766	83.9825	83.06122852751321	-0.06629410787354573	83.9825
GCA_900538305.1	GCA_000333815.1	0.8-0.85	87.1457	87.728	87.18108689672029	0.1593223902259524	87.728
GCF_007994135.1	GCA_019112525.1	0.8-0.85	86.1503	88.0638	83.84528037911943	2.1056600210795295	88.0638
GCF_001575205.1	GCF_000312385.1	0.8-0.85	85.4099	87.4391	84.13682131991641	6.8877908322174335	84.13682131991641
GCF_001592045.1	GCF_001517975.1	0.8-0.85	86.0975	86.1387	86.75352196056232	1.414862811182502	86.1387
GCF_016918015.1	GCF_003933745.1	0.8-0.85	86.3553	89.0387	81.67721309968452	2.764956392271415	89.0387
GCF_004025965.2	GCF_011383005.1	0.8-0.85	85.6007	87.5973	88.07687609717236	3.147679188929942	87.5973
GCF_014694315.1	GCF_001428005.1	0.8-0.85	86.0587	85.1879	86.91811782750153	6.206279128926326	86.91811782750153
GCA_001914705.1	GCA_005888315.1	0.8-0.85	85.5126	90.6488	90.41357616404136	1.6139857967368698	90.6488
GCF_004078655.1	GCF_003990045.1	0.8-0.85	85.5966	84.9952	83.03796991518217	-0.4115363709770463	84.9952
GCF_009733845.1	GCF_009733815.1	0.8-0.85	85.6436	85.7618	86.30446136808693	2.0337855252200825	85.7618
GCF_008040105.1	GCA_003454135.1	0.8-0.85	86.149	90.0931	89.41369706911217	-0.35950568928865323	90.0931
GCF_003003175.1	GCF_019173455.1	0.8-0.85	85.9887	86.5007	87.13661471507088	3.708677701302804	86.5007
GCF_900112815.1	GCF_016612865.1	0.8-0.85	85.9801	89.019	84.75780255047482	0.09048509163676499	89.019
GCF_003610585.1	GCF_002936985.1	0.8-0.85	86.6378	88.1086	87.78300908914326	-0.48462799796016043	88.1086
GCF_003751785.1	GCF_003755185.1	0.8-0.85	86.5203	85.5057	85.85318540690474	6.962894937283636	85.85318540690474
GCF_006716305.1	GCF_001657475.1	0.8-0.85	84.906	87.9894	84.90112577821355	24.846885547585316	84.90112577821355
GCF_009742705.1	GCF_900101785.1	0.8-0.85	85.8632	88.2949	85.99924181811163	4.154509361558667	88.2949
GCA_000620545.1	GCF_006717025.1	0.8-0.85	86.5934	86.7729	87.1347066713283	1.0183240086862497	86.7729
GCF_003121705.1	GCF_004786095.1	0.8-0.85	86.0981	84.8185	86.90892453520311	9.253754799793569	86.90892453520311
GCF_900104895.1	GCF_004217495.1	0.8-0.85	86.8433	88.3775	83.6701584776872	0.6552370056506334	88.3775
GCF_011751745.2	GCF_011751765.2	0.8-0.85	86.3238	84.155	83.35611975891916	-0.45428818821164896	84.155
GCF_004323735.1	GCF_000826685.1	0.8-0.85	86.7749	86.9259	85.67207022120135	0.31439425862117787	86.9259
GCF_900108175.1	GCF_006363815.1	0.8-0.85	86.3843	86.5616	86.85297077436866	0.42724863199327956	86.5616
GCF_001592045.1	GCF_001660385.1	0.8-0.85	85.5014	87.2471	87.42426331346942	1.4908212604432265	87.2471
GCA_009702325.1	GCA_900299235.1	0.8-0.85	84.9257	87.3521	88.13122969339194	3.0656126495664466	87.3521
