query	reference	enzyme	tag_len	body_len	n_miss	hist
NZ_CP050272.1	NZ_CP133475.1	AlfI	32	26	18	266,43,4
NZ_CP050272.1	NZ_CP133475.1	AloI	27	20	6	123,12,2
NZ_CP050272.1	NZ_CP133475.1	BcgI	32	26	16	279,38,7
NZ_CP050272.1	NZ_CP133475.1	BplI	27	21	8	122,15,2
NZ_CP050272.1	NZ_CP133475.1	BsaXI	27	21	30	339,36,8
NZ_CP050272.1	NZ_CP133475.1	Bsp24I	27	21	17	470,60,3
NZ_CP050272.1	NZ_CP133475.1	CjeI	28	23	92	2311,266,39
NZ_CP050272.1	NZ_CP133475.1	CjePI	27	22	106	2442,273,32
NZ_CP050272.1	NZ_CP133475.1	FalI	27	21	46	1001,103,14
NZ_CP050272.1	NZ_CP133475.1	PpiI	28	21	2	85,10,1
NZ_CP050272.1	NZ_CP133475.1	PsrI	27	20	9	111,9,1
NZ_CP044493.1	NZ_CP133475.1	AlfI	32	26	11	310,23,4
NZ_CP044493.1	NZ_CP133475.1	AloI	27	20	6	136,1,0
NZ_CP044493.1	NZ_CP133475.1	BcgI	32	26	16	311,25,5
NZ_CP044493.1	NZ_CP133475.1	BplI	27	21	9	135,7,0
NZ_CP044493.1	NZ_CP133475.1	BsaXI	27	21	17	392,25,1
NZ_CP044493.1	NZ_CP133475.1	Bsp24I	27	21	14	513,42,2
NZ_CP044493.1	NZ_CP133475.1	CjeI	28	23	67	2584,172,23
NZ_CP044493.1	NZ_CP133475.1	CjePI	27	22	81	2724,190,23
NZ_CP044493.1	NZ_CP133475.1	FalI	27	21	34	1116,69,8
NZ_CP044493.1	NZ_CP133475.1	PpiI	28	21	4	95,5,0
NZ_CP044493.1	NZ_CP133475.1	PsrI	27	20	5	122,8,1
NZ_AP019720.1	NZ_CP133475.1	AlfI	32	26	0	345,0,1
NZ_AP019720.1	NZ_CP133475.1	AloI	27	20	0	148,0,0
NZ_AP019720.1	NZ_CP133475.1	BcgI	32	26	0	358,0,0
NZ_AP019720.1	NZ_CP133475.1	BplI	27	21	0	158,0,0
NZ_AP019720.1	NZ_CP133475.1	BsaXI	27	21	0	456,0,0
NZ_AP019720.1	NZ_CP133475.1	Bsp24I	27	21	0	585,0,0
NZ_AP019720.1	NZ_CP133475.1	CjeI	28	23	0	2931,1,0
NZ_AP019720.1	NZ_CP133475.1	CjePI	27	22	2	3086,0,0
NZ_AP019720.1	NZ_CP133475.1	FalI	27	21	0	1251,1,0
NZ_AP019720.1	NZ_CP133475.1	PpiI	28	21	0	111,0,0
NZ_AP019720.1	NZ_CP133475.1	PsrI	27	20	0	146,0,0
NZ_CP050272.1	NZ_CP044493.1	AlfI	32	26	15	270,42,2
NZ_CP050272.1	NZ_CP044493.1	AloI	27	20	10	121,9,2
NZ_CP050272.1	NZ_CP044493.1	BcgI	32	26	20	276,33,9
NZ_CP050272.1	NZ_CP044493.1	BplI	27	21	16	122,7,2
NZ_CP050272.1	NZ_CP044493.1	BsaXI	27	21	36	329,35,9
NZ_CP050272.1	NZ_CP044493.1	Bsp24I	27	21	25	462,59,6
NZ_CP050272.1	NZ_CP044493.1	CjeI	28	23	89	2268,292,47
NZ_CP050272.1	NZ_CP044493.1	CjePI	27	22	122	2419,270,48
NZ_CP050272.1	NZ_CP044493.1	FalI	27	21	58	994,99,11
NZ_CP050272.1	NZ_CP044493.1	PpiI	28	21	4	84,7,1
NZ_CP050272.1	NZ_CP044493.1	PsrI	27	20	10	110,8,0
NZ_CP050272.1	NZ_AP019720.1	AlfI	32	26	18	267,43,3
NZ_CP050272.1	NZ_AP019720.1	AloI	27	20	6	123,12,2
NZ_CP050272.1	NZ_AP019720.1	BcgI	32	26	16	279,38,7
NZ_CP050272.1	NZ_AP019720.1	BplI	27	21	8	122,15,2
NZ_CP050272.1	NZ_AP019720.1	BsaXI	27	21	30	339,36,8
NZ_CP050272.1	NZ_AP019720.1	Bsp24I	27	21	17	470,59,4
NZ_CP050272.1	NZ_AP019720.1	CjeI	28	23	92	2313,263,40
NZ_CP050272.1	NZ_AP019720.1	CjePI	27	22	104	2444,272,33
NZ_CP050272.1	NZ_AP019720.1	FalI	27	21	46	1001,103,14
NZ_CP050272.1	NZ_AP019720.1	PpiI	28	21	2	85,10,1
NZ_CP050272.1	NZ_AP019720.1	PsrI	27	20	9	111,9,1
NZ_CP044493.1	NZ_AP019720.1	AlfI	32	26	11	311,23,3
NZ_CP044493.1	NZ_AP019720.1	AloI	27	20	6	136,1,0
NZ_CP044493.1	NZ_AP019720.1	BcgI	32	26	16	311,25,5
NZ_CP044493.1	NZ_AP019720.1	BplI	27	21	9	135,7,0
NZ_CP044493.1	NZ_AP019720.1	BsaXI	27	21	17	392,25,1
NZ_CP044493.1	NZ_AP019720.1	Bsp24I	27	21	14	513,42,2
NZ_CP044493.1	NZ_AP019720.1	CjeI	28	23	67	2585,169,23
NZ_CP044493.1	NZ_AP019720.1	CjePI	27	22	79	2725,191,23
NZ_CP044493.1	NZ_AP019720.1	FalI	27	21	34	1115,70,8
NZ_CP044493.1	NZ_AP019720.1	PpiI	28	21	4	95,5,0
NZ_CP044493.1	NZ_AP019720.1	PsrI	27	20	5	122,8,1
NZ_CM170107.1	NZ_CM178757.1	AlfI	32	26	10	708,2,0
NZ_CM170107.1	NZ_CM178757.1	AloI	27	20	1	312,3,1
NZ_CM170107.1	NZ_CM178757.1	BcgI	32	26	17	1878,10,3
NZ_CM170107.1	NZ_CM178757.1	BplI	27	21	17	460,8,0
NZ_CM170107.1	NZ_CM178757.1	BsaXI	27	21	15	1144,6,1
NZ_CM170107.1	NZ_CM178757.1	Bsp24I	27	21	3	584,8,0
NZ_CM170107.1	NZ_CM178757.1	CjeI	28	23	21	2510,19,4
NZ_CM170107.1	NZ_CM178757.1	CjePI	27	22	35	3177,36,3
NZ_CM170107.1	NZ_CM178757.1	FalI	27	21	14	733,5,5
NZ_CM170107.1	NZ_CM178757.1	PpiI	28	21	5	243,2,2
NZ_CM170107.1	NZ_CM178757.1	PsrI	27	20	2	197,0,0
NZ_CM170107.1	NZ_CP126309.1	AlfI	32	26	47	560,111,24
NZ_CM170107.1	NZ_CP126309.1	AloI	27	20	21	265,32,8
NZ_CM170107.1	NZ_CP126309.1	BcgI	32	26	129	1446,324,45
