dataset	estimator	MAE	bias
mosaic19	gamma	2.642	+2.567
mosaic19	gated	2.642	+2.567
mosaic19	npmle	1.474	+0.164
mosaic19	D2	1.708	+1.071
mosaic19	spatial	1.793	+0.573
mosaic19	avg	1.725	+1.365
uniform12	gamma	0.073	+0.065
uniform12	gated	0.073	+0.065
uniform12	npmle	0.216	-0.186
uniform12	D2	0.895	-0.875
uniform12	spatial	0.058	+0.045
uniform12	avg	0.107	-0.061
gtdb2053	gated	2.819	+2.680
gtdb2053	npmle	2.707	+2.035
gtdb2053	spatial	2.867	+2.608
gtdb2053	avg	2.634	+2.357
gtdb:0.8-0.85	gated	3.369	+3.184
gtdb:0.8-0.85	npmle	3.143	+2.026
gtdb:0.8-0.85	spatial	3.384	+3.117
gtdb:0.8-0.85	avg	2.978	+2.605
gtdb:0.85-0.9	gated	3.490	+3.389
gtdb:0.85-0.9	npmle	3.346	+2.835
gtdb:0.85-0.9	spatial	3.528	+3.372
gtdb:0.85-0.9	avg	3.314	+3.112
gtdb:0.9-0.95	gated	1.817	+1.653
gtdb:0.9-0.95	npmle	1.802	+1.221
gtdb:0.9-0.95	spatial	1.892	+1.524
gtdb:0.9-0.95	avg	1.741	+1.437
gtdb:0.95-0.99	gated	1.159	+1.086
gtdb:0.95-0.99	npmle	1.220	+0.671
gtdb:0.95-0.99	spatial	1.257	+0.913
gtdb:0.95-0.99	avg	1.150	+0.878
