case	bic_gamma	bic_D2	preferred
q_ani0.9500__gamma_a0.5_ani95	13470.0	13694.7	gamma
q_ani0.9500__gamma_a1.0_ani95	15402.0	15492.9	gamma
q_ani0.9500__gamma_a2.0_ani95	16424.3	16442.0	gamma
q_ani0.9008__gamma_a0.5_ani90	13149.9	13307.7	gamma
q_ani0.9000__gamma_a1.0_ani90	14269.3	14298.0	gamma
q_ani0.9800__gamma_a1.0_ani98	12931.7	13035.6	gamma
q_ani0.9500__bimodal_70core_ani95	13445.2	13427.5	D2
q_ani0.9500__bimodal_50core_ani95	15019.5	15055.9	gamma
q_ani0.8999__bimodal_70core_ani90	13503.2	13424.5	D2
x1001_gamma1.0_ani0.9_b5k	14093.3	14151.6	gamma
x1002_gamma0.5_ani0.9_b5k	13397.6	13542.3	gamma
x1003_gamma1.0_ani0.85_b5k	11953.6	11973.0	gamma
x1004_gamma1.5_ani0.92_b5k	14792.8	14806.7	gamma
x1005_bimodal0.7_ani0.9_b5k	13423.1	13341.5	D2
x1006_bimodal0.6_ani0.85_b5k	12976.1	12954.1	D2
x1007_gamma1.0_ani0.9_b1k	14292.1	14361.6	gamma
x1008_gamma1.0_ani0.9_b20k	12040.7	12079.9	gamma
x1009_bimodal0.7_ani0.9_b1k	14927.9	14818.8	D2
x1010_gamma0.7_ani0.95_b5k	14692.6	14714.7	gamma
